{'timestamp': '2025-09-01T165432', 'user': 'guest_user', 'action': 'LOGIN_FAILED', 'details': 'N/A from IP 102.39.0.1', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170501', 'user': 'admin', 'action': 'SUDO_ATTEMPT', 'details': 'Tried sudo rm -rf /etc/passwd from IP 142.329.219.2', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170506', 'user': 'intern', 'action': 'LOGIN_SUCCESS', 'details': 'N/A from IP 102.39.0.1', 'result': 'SUCCESS'}
{'timestamp': '2025-09-01T170511', 'user': 'guest_user', 'action': 'SUDO_ATTEMPT', 'details': 'Tried sudo rm -rf /etc/passwd from IP 192.123.32.12', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170516', 'user': 'admin', 'action': 'FILE_ACCESS', 'details': 'Attempted confidential.txt from IP 102.39.0.1', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170521', 'user': 'guest_user', 'action': 'LOGIN_FAILED', 'details': 'N/A from IP 142.329.219.2', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170526', 'user': 'intern', 'action': 'SUDO_ATTEMPT', 'details': 'Tried sudo rm -rf /etc/passwd from IP 192.123.32.12', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170531', 'user': 'analyst', 'action': 'FILE_COPY', 'details': 'Copied confidential.txt to /tmp from IP 192.123.32.12', 'result': 'SUCCESS'}
{'timestamp': '2025-09-01T170536', 'user': 'analyst', 'action': 'SUDO_ATTEMPT', 'details': 'Tried sudo rm -rf /etc/passwd from IP 192.123.32.12', 'result': 'DENIED'}
{'timestamp': '2025-09-01T170541', 'user': 'guest_user', 'action': 'LOGIN_SUCCESS', 'details': 'N/A from IP 192.123.32.12', 'result': 'SUCCESS'}
{'timestamp': '2025-09-01T170546', 'user': 'admin', 'action': 'FILE_COPY', 'details': 'Copied confidential.txt to /tmp from IP 192.123.32.12', 'result': 'SUCCESS'}
